id_eleve,serie_cible,math,physique,svt,francais,histoire,aptitude_logique,niveau_motivation,centre_interet,interesse_par_informatique,moyenne_generale
NS10678,SMP,88.0,70.0,56.0,70.0,67.0,4.0,Moyenne,Sciences et technologie,Oui,70.2
NS11264,SMP,79.0,86.0,63.0,81.0,51.0,5.0,Moyenne,Informatique,Non,72.0
NS12407,LLA,60.0,49.0,84.0,80.0,66.0,3.0,Très élevée,Lettres et langues,Non,67.8
NS10691,SES,63.0,71.0,69.0,72.0,72.0,2.0,Moyenne,Sciences et technologie,Oui,69.4
NS10007,SMP,72.0,76.0,66.0,76.0,64.0,4.0,Très élevée,Sciences et technologie,Oui,70.8
NS12867,SMP,57.39609620053909,90.0,58.31291452756943,64.0,46.0,5.0,Élevée,Informatique,Non,63.1
NS11204,SMP,94.0,88.0,75.0,64.0,46.0,,Très élevée,Informatique,Non,73.4
NS12233,LLA,59.0,30.0,46.0,80.0,67.0,2.0,Très élevée,Lettres et langues,Oui,56.4
NS10415,SMP,87.0,70.0,62.40019408777293,55.486433468360666,48.0,3.0,Élevée,Sciences et technologie,Oui,64.6
NS10670,LLA,46.0,,58.0,68.0,76.0,2.0,Très élevée,Lettres et langues,Non,59.0
NS10810,SVT,83.0,58.0,79.0,62.0,75.0,5.0,Élevée,Sciences et technologie,Non,71.4
NS11089,SES,71.0,66.0,73.0,73.0,89.0,3.0,Élevée,Économie et société,Non,74.4
NS10199,SVT,80.0,77.0,89.0,84.0,74.0,3.0,Très élevée,Sciences et technologie,Non,80.8
NS10283,SES,60.0,59.0,51.0,77.0,76.0,4.0,Élevée,Sciences et technologie,Non,64.6
NS10231,SMP,76.0,,76.0,66.0,74.0,4.0,Élevée,Sciences et technologie,Oui,75.6
NS12730,SMP,83.0,92.0,62.0,72.0,51.0,5.0,Très élevée,Sciences et technologie,Oui,72.0
NS12861,SVT,83.0,78.0,83.0,75.0,60.0,4.0,Très élevée,Santé et environnement,Oui,75.8
NS10096,SES,57.0,43.03765647240992,72.0,73.0,100.0,4.0,Très élevée,Économie et société,Non,69.0
NS11587,SVT,62.0,51.0,90.0,58.0,63.0,4.0,Très élevée,Sciences et technologie,Oui,64.8
NS12569,LLA,65.0,58.0,42.0,83.0,,3.0,Très élevée,Lettres et langues,Non,64.4
NS11606,SVT,87.0,60.0,85.0,72.0,84.0,4.0,Élevée,Sciences et technologie,Non,77.6
NS10676,SVT,73.0,64.0,88.0,61.0,58.0,3.0,Moyenne,Sciences et technologie,Non,68.8
NS11860,SMP,91.0,84.0,57.0,55.0,63.0,4.0,Élevée,Informatique,Oui,70.0
NS12781,LLA,49.0,50.0,53.0,86.0,80.0,2.0,Moyenne,Arts et culture,,63.6
NS12863,SES,71.0,69.0,68.0,75.0,82.0,,Très élevée,Économie et société,Non,73.0
NS12587,LLA,56.0,55.0,48.0,81.0,78.0,2.0,Très élevée,Arts et culture,Oui,63.6
NS11399,LLA,64.0,52.0,58.0,82.0,85.0,,Très élevée,Arts et culture,Non,68.2
NS11370,LLA,40.0,56.0,60.0,87.0,82.0,3.0,Très élevée,Arts et culture,Non,65.0
NS10104,LLA,63.0,35.53608342047465,42.0,91.0,97.64609513845164,,Élevée,Arts et culture,Oui,65.8
NS12087,SES,67.0,57.750584011238914,54.0,69.0,84.87991657399255,3.0,Élevée,Sciences et technologie,Oui,66.5
NS10599,SMP,79.0,81.0,74.0,71.0,73.0,,Très élevée,Sciences et technologie,Oui,75.6
NS11756,LLA,60.1760636965489,67.0,37.39308854717245,88.0,80.0,1.0,Très élevée,Lettres et langues,Non,66.5
NS11323,SES,65.0,59.0,64.0,55.0,86.0,4.0,Élevée,Sciences et technologie,Non,65.8
NS10642,SMP,91.0,80.0,67.0,,64.0,4.0,Très élevée,Sciences et technologie,Oui,73.8
NS10700,SVT,77.0,70.0,71.0,79.0,68.0,5.0,Très élevée,Santé et environnement,Non,73.0
NS10226,SES,51.0,68.0,75.0,68.0,82.0,3.0,Élevée,Sciences et technologie,Non,68.8
NS11697,SES,73.0,60.0,60.0,71.0,73.0,2.0,Élevée,Sciences et technologie,Non,67.4
NS11010,SES,79.0,51.0,57.0,97.0,78.0,4.0,Élevée,Économie et société,Non,72.4
NS11572,SMP,80.0,85.0,62.0,64.0,50.0,5.0,Faible,Sciences et technologie,Oui,68.2
NS10776,SES,67.0,39.0,68.0,67.0,78.0,3.0,Très élevée,Économie et société,Non,63.8
NS11730,SMP,91.0,80.0,,64.0,55.0,5.0,Élevée,Informatique,Non,72.6
NS12826,SVT,60.0,70.0,95.0,72.0,75.0,3.0,Élevée,Santé et environnement,Oui,74.4
NS12228,SVT,64.0,67.0,,71.0,73.0,5.0,Moyenne,Santé et environnement,Oui,75.0
NS12794,SMP,69.0,79.0,68.0,62.0,70.0,4.0,Moyenne,Sciences et technologie,Oui,69.6
NS10464,SMP,70.0,66.0,75.0,64.0,62.0,5.0,Élevée,Sciences et technologie,Oui,67.4
NS12651,SMP,85.0,88.0,84.0,70.0,56.0,3.0,Très élevée,Sciences et technologie,Oui,76.6
NS11093,SVT,60.0,68.0,86.0,66.0,64.0,4.0,Élevée,Santé et environnement,Oui,68.8
NS11271,SMP,,88.0,68.0,64.0,36.0,4.0,,Informatique,Oui,67.0
NS12923,SES,62.0,41.0,53.0,63.0,63.0,4.0,Élevée,Sciences et technologie,Non,56.4
NS11580,SES,62.0,49.0,61.0,83.0,88.0,4.0,Moyenne,Économie et société,Oui,68.6
NS11207,SES,60.0,64.0,77.0,76.0,78.0,3.0,Élevée,Économie et société,Oui,71.0
NS10212,SMP,87.76538695437611,83.0,55.0,65.0,51.10376832659233,4.0,Élevée,Sciences et technologie,,68.4
NS10012,SES,68.0,53.0,60.0,,92.0,3.0,Très élevée,Économie et société,Non,71.6
NS12972,SVT,79.0,63.0,84.0,60.0,70.0,4.0,Élevée,Santé et environnement,Oui,71.2
NS10422,SES,66.29267616058587,54.0,55.96139439203544,82.0,92.0,,Élevée,Sciences et technologie,Oui,70.1
NS11688,SMP,78.0,87.0,67.0,70.0,59.0,4.0,Élevée,Informatique,Non,72.2
NS11779,SMP,77.0,100.0,56.0,70.0,53.0,4.0,Élevée,Informatique,Oui,71.2
NS12639,LLA,59.0,53.0,64.0,81.0,69.0,3.0,Élevée,Arts et culture,Oui,65.2
NS12319,LLA,56.0,60.0,45.0,93.0,76.0,4.0,Très élevée,Lettres et langues,Non,66.0
NS10637,SES,60.0,,43.0,75.0,79.0,4.0,Très élevée,Sciences et technologie,Non,64.4
NS11278,SMP,88.0,80.0,62.0,77.0,75.0,3.0,,Sciences et technologie,Oui,76.4
NS11640,SVT,73.0,77.0,80.0,60.0,,4.0,Élevée,Sciences et technologie,Non,68.2
NS10509,LLA,49.0,64.0,41.0,94.0,88.0,2.0,Moyenne,Lettres et langues,Oui,67.2
NS10597,SVT,62.0,,88.0,59.0,39.0,3.0,Moyenne,Santé et environnement,Oui,59.4
NS12712,LLA,63.0,58.0,69.0,99.0,88.0,3.0,Très élevée,Lettres et langues,Oui,75.4
NS12634,SVT,68.0,62.0,87.0,74.0,69.0,3.0,Très élevée,Santé et environnement,Non,72.0
NS12364,SMP,78.0,79.0,74.0,67.0,73.0,5.0,Moyenne,Sciences et technologie,Oui,74.2
NS12643,SMP,66.0,73.0,72.0,83.0,49.0,4.0,Élevée,Informatique,Oui,68.6
NS10518,SES,57.0,73.0,64.0,64.0,86.0,2.0,Moyenne,Économie et société,Oui,68.8
NS12793,SES,72.0,48.0,62.0,67.0,71.0,4.0,Très élevée,Économie et société,Oui,64.0
NS10573,SES,63.0,49.0,70.0,76.0,85.0,3.0,Très élevée,Économie et société,Non,68.6
NS12725,LLA,65.0,47.0,,90.0,77.0,3.0,Élevée,Lettres et langues,Non,68.6
NS11097,SMP,75.0,83.0,67.0,52.0,63.0,3.0,Moyenne,Informatique,Non,68.0
NS11947,SMP,83.0,66.0,75.0,66.0,42.0,3.0,Élevée,Informatique,Oui,66.4
NS11448,LLA,67.0,65.0,,72.0,77.0,4.0,Élevée,Arts et culture,Oui,68.4
NS11584,LLA,44.0,48.0,60.15802885293613,86.0,70.38849373483,2.0,Élevée,Lettres et langues,Oui,61.7
NS12596,SVT,75.0,60.0,84.0,70.0,,3.0,Élevée,Sciences et technologie,Oui,72.8
NS10964,LLA,53.0,50.0,60.0,80.0,76.0,2.0,Très élevée,Arts et culture,Non,63.8
NS11018,SES,70.0,67.0,61.0,66.0,97.0,3.0,Élevée,Économie et société,Oui,72.2
NS12908,SES,,50.0,54.0,76.0,100.0,3.0,Très élevée,Économie et société,Oui,72.8
NS10358,SVT,75.0,71.0,90.0,68.0,59.0,4.0,Élevée,Santé et environnement,Non,72.6
NS10736,SVT,83.0,88.0,95.0,91.0,59.0,3.0,Élevée,Santé et environnement,Non,83.2
NS11784,SMP,100.0,90.0,54.0,65.0,67.0,5.0,Moyenne,Sciences et technologie,Oui,75.2
NS11608,SMP,86.0,77.0,50.0,84.0,59.0,3.0,Élevée,Informatique,Oui,71.2
NS10259,SES,69.0,57.0,67.0,74.0,,4.0,Très élevée,Sciences et technologie,Non,68.8
NS12771,LLA,64.0,55.0,45.0,88.0,81.0,3.0,Très élevée,Lettres et langues,Non,66.6
NS12642,SES,72.0,55.0,37.0,62.0,91.0,3.0,Élevée,Économie et société,Oui,63.4
NS12742,SES,75.0,47.0,64.0,69.0,,3.0,Très élevée,Économie et société,Non,68.8
NS12383,LLA,48.0,53.0,68.0,77.0,63.0,3.0,,Lettres et langues,Oui,61.8
NS11029,SES,58.0,48.0,62.0,74.0,74.0,4.0,Très élevée,Économie et société,Non,63.2
NS12408,LLA,81.14725610579983,55.0,49.0,75.18989051697099,82.0,2.0,Élevée,Lettres et langues,Non,68.5
NS10969,SVT,73.0,86.0,90.0,,69.0,3.0,Très élevée,Santé et environnement,Non,75.4
NS12990,SVT,84.0,62.0,79.0,69.0,73.0,2.0,Élevée,Santé et environnement,Non,73.4
NS10819,LLA,59.0,49.0,,72.0,80.0,3.0,Moyenne,Lettres et langues,,61.6
NS12716,LLA,45.0,58.0,61.0,85.0,69.0,3.0,Élevée,Lettres et langues,Oui,63.6
NS12325,SES,82.0,60.0,67.0,64.0,81.0,4.0,Moyenne,Sciences et technologie,Oui,70.8
NS10456,LLA,63.0,62.0,59.0,90.0,58.0,3.0,Élevée,Lettres et langues,Non,66.4
NS10462,LLA,58.0,62.0,59.0,90.0,84.0,3.0,Très élevée,Lettres et langues,Non,70.6
NS12344,LLA,57.0,74.0,62.0,84.0,80.0,2.0,Très élevée,Arts et culture,Oui,71.4
NS12688,SES,,60.0,51.0,81.0,87.0,2.0,,Économie et société,Non,68.8
NS10381,SES,55.0,50.0,67.0,81.0,67.0,4.0,,Sciences et technologie,Oui,64.0
NS11891,SMP,79.0,68.0,,69.65721462432215,75.95466053831095,4.0,Élevée,Informatique,Non,71.9
NS11832,SVT,45.0,73.0,52.0,65.0,74.0,3.0,Élevée,Sciences et technologie,Oui,61.8
NS12308,SVT,75.0,79.0,90.0,61.0,61.0,4.0,Élevée,Sciences et technologie,Non,73.2
NS11506,LLA,61.0,,51.0,89.0,63.0,3.0,Élevée,Lettres et langues,Non,61.8
NS10805,SVT,70.0,67.0,84.0,65.0,63.0,3.0,Très élevée,Sciences et technologie,Oui,69.8
NS12438,SMP,84.0,87.0,81.0,74.0,62.0,4.0,,Sciences et technologie,Oui,77.6
NS10756,LLA,65.0,55.0,61.0,69.0,70.0,,Très élevée,Lettres et langues,Non,64.0
NS12515,SVT,63.0,68.0,85.0,72.0,80.0,,Très élevée,Santé et environnement,Oui,73.6
NS11253,SES,64.0,54.0,63.0,83.0,70.0,3.0,Très élevée,Sciences et technologie,Non,66.8
NS10869,SES,69.0,45.0,63.0,60.0,63.0,2.0,Très élevée,Sciences et technologie,Non,60.0
NS12064,LLA,57.0,53.0,62.0,87.0,80.0,2.0,Élevée,Lettres et langues,Non,67.8
NS11410,SMP,90.0,94.0,64.0,72.0,69.0,4.0,Très élevée,Sciences et technologie,Oui,77.8
NS12360,SMP,72.0,87.0,58.0,58.0,66.0,5.0,Très élevée,Sciences et technologie,Oui,68.2
NS12287,SVT,65.0,62.0,77.0,56.0,83.0,4.0,Très élevée,Santé et environnement,Oui,68.6
NS12858,SMP,76.0,81.0,75.0,67.0,55.0,3.0,Élevée,Sciences et technologie,Oui,70.8
NS11173,SVT,96.0,66.0,91.0,74.0,71.0,3.0,Élevée,Santé et environnement,Oui,79.6
NS10542,LLA,66.0,57.0,57.0,82.0,76.0,3.0,Très élevée,Lettres et langues,Oui,67.6
NS12104,SMP,87.0,84.0,68.0,67.0,67.0,4.0,Élevée,Informatique,Oui,74.6
NS11255,LLA,48.0,45.0,55.0,83.0,70.0,2.0,Très élevée,Lettres et langues,Non,60.2
NS11766,SMP,72.0,80.0,80.0,72.0,71.0,4.0,Élevée,Sciences et technologie,Oui,75.0
NS11765,LLA,68.0,49.0,53.0,91.0,71.0,3.0,Très élevée,Lettres et langues,Oui,66.4
NS11289,SMP,82.0,78.0,67.0,80.0,66.0,5.0,Élevée,Sciences et technologie,Oui,74.6
NS12421,SMP,81.0,70.0,,75.0,69.0,4.0,Élevée,Informatique,Oui,71.4
NS12527,SMP,87.0,75.63848868483646,69.34109411517886,69.0,64.0,5.0,Élevée,Sciences et technologie,Oui,73.0
NS11343,SVT,77.0,66.0,92.0,63.0,62.0,4.0,Très élevée,Sciences et technologie,Non,72.0
NS11525,SES,96.0,48.0,58.0,79.0,91.0,3.0,Moyenne,Sciences et technologie,Oui,74.4
NS12894,SVT,,55.0,59.0,61.0,71.0,3.0,Élevée,Sciences et technologie,Oui,65.4
NS12686,LLA,45.0,44.0,51.0,81.0,76.0,2.0,Très élevée,Lettres et langues,Non,59.4
NS12194,SVT,,72.0,89.0,80.0,83.0,3.0,Très élevée,Sciences et technologie,Oui,81.6
NS12420,SES,80.0,44.0,70.0,71.0,90.0,3.0,Très élevée,Économie et société,,71.0
NS11677,SES,71.0,54.0,69.0,74.0,76.0,3.0,Très élevée,,Non,68.8
NS11286,SES,49.0,47.0,68.0,74.0,87.0,3.0,Élevée,Sciences et technologie,Oui,65.0
NS10435,SMP,,89.0,73.0,64.0,57.0,4.0,Élevée,Sciences et technologie,Non,72.2
NS11727,SMP,,79.0,64.0,67.0,73.0,4.0,Moyenne,Sciences et technologie,Oui,73.8
NS10237,SES,60.0,58.0,46.6649941113872,76.50504224164851,74.0,3.0,Très élevée,Économie et société,Oui,63.0
NS12347,SMP,83.0,85.0,71.0,41.0,62.0,4.0,Élevée,Informatique,Oui,68.4
NS10109,SVT,76.0,80.0,74.0,74.0,69.0,3.0,Très élevée,,Non,74.6
NS12274,LLA,54.0,55.0,43.0,90.0,73.0,,Très élevée,Lettres et langues,Non,63.0
NS10163,LLA,53.0,62.0129529587757,65.0,79.0,61.32720260045885,2.0,Très élevée,Arts et culture,Oui,64.1
NS10288,SES,65.0,56.0,52.0,76.0,68.0,3.0,Très élevée,Économie et société,Non,63.4
NS10252,SMP,88.0,80.0,58.0,71.0,80.0,4.0,Élevée,Sciences et technologie,Oui,75.4
NS12583,SES,71.0,60.0,,58.0,86.0,4.0,Très élevée,Économie et société,Non,65.4
NS11964,SMP,84.0,83.0,73.0,75.0,65.0,5.0,Très élevée,Sciences et technologie,Oui,76.0
NS11288,SES,54.0,66.0,63.0,72.0,89.0,,Élevée,Sciences et technologie,Non,68.8
NS10744,SES,61.0,57.0,54.0,86.0,76.0,3.0,Très élevée,Sciences et technologie,Oui,66.8
NS11206,SMP,94.0,79.0,73.0,67.0,62.0,4.0,Très élevée,Sciences et technologie,Oui,75.0
NS12419,SVT,70.0,72.0,75.0,72.0,63.0,3.0,Moyenne,Sciences et technologie,Oui,70.4
NS11391,SES,61.0,64.0,86.0,73.0,87.0,3.0,Très élevée,Économie et société,Non,74.2
NS12333,LLA,60.0,67.0,55.0,90.0,80.0,2.0,Très élevée,Arts et culture,Oui,70.4
NS10990,SVT,79.0,68.0,63.0,81.0,62.0,4.0,Très élevée,Santé et environnement,,70.6
NS10839,SES,58.0,59.0,57.0,85.0,90.0,3.0,Élevée,Sciences et technologie,Oui,69.8
NS11149,SES,69.0,53.0,54.0,77.0,80.0,3.0,Très élevée,Économie et société,Non,66.6
NS11221,LLA,72.0,62.0,59.0,82.0,77.0,3.0,Élevée,Lettres et langues,Non,70.4
NS11743,LLA,72.0,57.0,74.0,81.0,79.0,2.0,Très élevée,Lettres et langues,Oui,72.6
NS12400,SES,66.0,45.0,65.0,92.0,72.0,3.0,Élevée,Sciences et technologie,Oui,68.0
NS10461,SES,89.0,67.0,56.0,83.0,75.0,4.0,Très élevée,Sciences et technologie,Oui,74.0
NS11309,SVT,73.0,79.0,74.0,69.0,43.0,3.0,Très élevée,Sciences et technologie,Non,67.6
NS11435,SMP,85.0,58.0,58.0,67.0,56.0,5.0,Élevée,Sciences et technologie,Oui,64.8
NS10157,SVT,81.0,64.0,92.0,55.0,60.0,4.0,Élevée,Santé et environnement,Non,70.4
NS11911,SMP,86.0,83.0,47.0,74.0,53.0,4.0,Très élevée,Sciences et technologie,Oui,68.6
NS12359,SES,79.0,68.0,52.0,70.0,70.0,4.0,Très élevée,,Oui,67.8
NS10677,SVT,70.0,47.0,82.0,75.0,69.0,3.0,Très élevée,Santé et environnement,Non,68.6
NS12848,SES,52.0,62.0,62.0,81.0,73.0,2.0,Très élevée,Sciences et technologie,Oui,66.0
NS11872,SMP,74.0,76.0,66.0,47.0,76.0,5.0,Très élevée,Informatique,Non,67.8
NS10238,SVT,65.0,79.0,81.0,74.0,69.0,4.0,Élevée,Sciences et technologie,Non,73.6
NS12917,LLA,56.0,50.0,53.0,85.0,84.0,3.0,Très élevée,Lettres et langues,Non,65.6
NS11091,SVT,59.0,90.0,87.0,58.0,61.0,4.0,Très élevée,Sciences et technologie,Non,71.0
NS12870,SVT,68.0,68.0,84.0,60.0,70.0,2.0,Moyenne,,Non,70.0
NS10100,LLA,63.0,48.0,68.0,81.0,80.0,1.0,Très élevée,Lettres et langues,Oui,68.0
NS10315,SMP,87.0,84.0,55.0,82.0,48.0,4.0,Élevée,Sciences et technologie,Oui,71.2
NS11023,SES,72.0,66.0,54.0,76.0,65.0,4.0,Élevée,,Non,66.6
NS12746,SES,63.0,61.0,75.0,68.0,,3.0,Moyenne,,Oui,66.6
NS10767,LLA,47.0,41.0,70.0,90.0,85.0,1.0,Très élevée,Arts et culture,Non,66.6
NS11344,SES,69.0,75.0,57.0,85.0,85.0,3.0,Très élevée,Sciences et technologie,Non,74.2
NS10261,SVT,66.0,59.0,62.0,81.0,72.0,3.0,Élevée,Santé et environnement,Oui,68.0
NS11451,SES,61.0,65.0,53.0,70.0,71.0,4.0,Très élevée,Économie et société,Non,64.0
NS12834,SES,64.0,52.0,73.11786669356209,68.91758869786406,,5.0,Élevée,Sciences et technologie,Non,67.8
NS10195,SVT,72.0,68.0,84.0,84.0,53.0,3.0,Très élevée,Santé et environnement,Non,72.2
NS11775,SMP,82.0,85.0,67.0,69.0,74.0,4.0,,,Oui,75.4
NS12841,SVT,56.0,71.0,81.0,79.0,68.0,4.0,Élevée,Sciences et technologie,Non,71.0
NS11735,SES,75.0,43.0,57.0,,80.0,3.0,Élevée,Économie et société,,66.4
NS10179,SVT,56.0,75.0,92.0,63.0,74.0,4.0,Très élevée,Santé et environnement,Oui,72.0
NS12922,SES,65.0,60.0,63.0,77.66382305184075,77.67551817434443,4.0,Très élevée,Économie et société,Non,68.7
NS10340,LLA,69.0,67.56128020528985,74.0,100.0,80.1766835459395,2.0,Très élevée,Arts et culture,Non,78.1
NS11099,SMP,86.0,77.0,66.0,55.0,72.0,5.0,Élevée,Sciences et technologie,Non,71.2
NS11543,SES,66.0,65.0,53.0,71.0,68.0,2.0,Très élevée,Économie et société,Non,64.6
NS10748,SES,69.0,66.76627264783025,54.0,74.64969319217859,,3.0,Très élevée,Sciences et technologie,Non,65.3
NS12755,SVT,61.0,82.0,80.0,64.0,55.0,4.0,Élevée,Santé et environnement,Non,68.4
NS10662,SES,55.0,73.0,,81.0,63.0,3.0,Très élevée,Sciences et technologie,Non,67.0
NS10480,SMP,79.0,78.0,68.0,72.0,62.0,4.0,Moyenne,Informatique,Oui,71.8
NS12138,SVT,83.0,86.0,91.0,83.0,64.0,3.0,Élevée,Sciences et technologie,Oui,81.4
NS10871,SES,72.0,65.0,63.0,78.0,90.0,4.0,Moyenne,,Non,73.6
NS11453,SMP,80.0,93.0,56.0,57.0,56.0,5.0,Très élevée,Sciences et technologie,Oui,68.4
NS12952,LLA,46.0,56.0,47.0,88.0,67.0,2.0,Élevée,Lettres et langues,Non,60.8
NS10549,LLA,47.0,34.0,54.0,89.0,84.0,3.0,Très élevée,Arts et culture,Non,61.6
NS12020,LLA,51.0,67.0,57.0,82.0,48.0,3.0,Très élevée,Arts et culture,Non,61.0
NS12708,SMP,76.0,79.0,52.0,83.0,54.0,5.0,Élevée,Sciences et technologie,Oui,68.8
NS10742,SES,62.0,55.0,65.0,94.0,82.0,3.0,Très élevée,Sciences et technologie,Non,71.6
NS12415,SES,59.0,58.82679698029422,60.0,88.80430938957304,78.0,3.0,Très élevée,Économie et société,Non,68.9
NS12637,SMP,76.0,83.0,77.0,59.0,63.0,4.0,Très élevée,Informatique,Oui,71.6
NS12566,SVT,77.0,59.0,86.0,65.0,52.0,3.0,Élevée,Santé et environnement,Non,67.8
NS12292,SES,71.0,59.0,54.0,87.0,93.0,3.0,Élevée,Économie et société,Non,72.8
NS11909,SMP,82.0,81.0,63.0,67.0,61.0,4.0,Très élevée,Sciences et technologie,Oui,70.8
NS10790,SMP,88.0,65.0,77.0,68.0,46.0,5.0,Élevée,Informatique,Non,68.8
NS12120,SVT,59.0,81.0,100.0,54.0,67.0,4.0,Élevée,Sciences et technologie,Oui,72.2
NS11446,LLA,51.0,61.0,70.0,90.0,76.0,3.0,Élevée,Arts et culture,Non,69.6
NS10247,SMP,77.0,78.0,77.0,72.0,60.0,3.0,Élevée,Sciences et technologie,Non,72.8
NS10829,SVT,69.0,,91.0,84.0,56.0,4.0,Élevée,Santé et environnement,Non,74.4
NS11124,SMP,74.0,76.0,83.0,65.0,52.0,4.0,Élevée,Sciences et technologie,Oui,70.0
NS12720,SES,65.0,58.0,70.0,71.0,75.0,4.0,Très élevée,Économie et société,Non,67.8
NS10626,SVT,72.0,59.0,86.0,82.0,70.0,,Élevée,,Non,73.8
NS10347,SMP,92.0,77.0,53.0,68.0,61.0,5.0,Très élevée,Sciences et technologie,Oui,70.2
NS10278,SVT,62.0,72.0,85.0,89.0,70.0,4.0,Élevée,Santé et environnement,Non,75.6
NS11783,SMP,84.0,77.0,68.0,62.0,54.0,5.0,Élevée,Sciences et technologie,Oui,69.0
NS12280,SMP,78.0,77.0,72.0,78.0,66.0,4.0,Élevée,Sciences et technologie,Oui,74.2
NS10655,SMP,98.0,92.0,52.0,74.0,54.0,5.0,Moyenne,Sciences et technologie,Non,74.0
NS11213,SMP,81.0,78.0,45.0,70.0,70.0,3.0,Élevée,Sciences et technologie,Oui,68.8
NS10838,SES,78.0,54.0,40.0,78.0,78.0,3.0,Élevée,Sciences et technologie,Non,65.6
NS12624,SVT,66.0,82.0,66.0,62.0,57.0,3.0,Moyenne,Santé et environnement,Oui,66.6
NS12588,SVT,83.0,71.0,86.0,86.0,74.0,3.0,Très élevée,Santé et environnement,Non,80.0
NS12350,SMP,100.0,81.0,82.0,68.0,,5.0,Élevée,Sciences et technologie,Oui,76.6
NS11709,LLA,60.0,63.0,55.0,100.0,77.0,2.0,Très élevée,Lettres et langues,Non,71.0
NS12023,SMP,73.0,,58.0,68.0,72.0,4.0,Élevée,Sciences et technologie,Oui,69.2
NS10976,LLA,63.0,42.0,64.0,89.0,71.0,3.0,Élevée,Arts et culture,Non,65.8
NS10445,SMP,69.0,85.0,67.0,73.0,64.0,5.0,Élevée,Informatique,Oui,71.6
NS10617,LLA,69.0,56.0,54.0,80.0,79.0,3.0,Très élevée,Lettres et langues,Non,67.6
NS11474,SES,62.0,52.0,64.0,82.0,80.0,3.0,Très élevée,Économie et société,Non,68.0
NS11778,SES,74.0,75.0,72.0,81.0,83.0,2.0,Élevée,Sciences et technologie,Oui,77.0
NS12517,LLA,58.0,70.0,63.0,96.0,78.0,3.0,Très élevée,Arts et culture,Non,73.0
NS11244,LLA,73.0,50.0,65.0,,81.0,2.0,Très élevée,Lettres et langues,Oui,69.6
NS12995,LLA,41.0,64.0,53.0,83.0,75.0,2.0,Très élevée,Arts et culture,Non,63.2
NS12552,SMP,81.0,72.0,68.0,69.0,58.0,4.0,Moyenne,Sciences et technologie,Oui,69.6
NS10547,SVT,66.0,78.0,91.0,92.0,64.0,3.0,Très élevée,Santé et environnement,Non,78.2
NS12210,LLA,70.0,52.0,57.0,88.0,79.0,,Élevée,Arts et culture,Non,69.2
NS11623,SVT,69.0,,81.0,70.0,51.0,4.0,,Santé et environnement,Oui,64.4
NS10263,LLA,,58.0,57.0,82.0,81.0,3.0,Très élevée,Lettres et langues,Non,65.4
NS11397,SES,79.0,64.0,72.0,79.0,77.0,4.0,Très élevée,Sciences et technologie,Non,74.2
NS12353,LLA,44.0,43.0,58.0,90.0,92.0,2.0,Très élevée,Arts et culture,Oui,65.4
NS11815,LLA,54.0,53.0,62.0,76.0,82.0,2.0,Très élevée,Lettres et langues,Non,65.4
NS10353,SVT,80.0,75.0,82.0,71.0,63.0,4.0,Élevée,Sciences et technologie,Non,74.2
NS11075,SMP,79.0,81.0,71.0,68.0,68.0,5.0,Élevée,Sciences et technologie,Non,73.4
NS10208,LLA,35.0,38.0,49.0,83.0,78.0,3.0,Moyenne,Lettres et langues,Non,56.6
NS10613,SES,76.0,59.0,60.0,73.0,80.0,3.0,Moyenne,Sciences et technologie,Oui,69.6
NS12090,LLA,69.0,32.0,56.0,82.0,66.0,2.0,Très élevée,Arts et culture,Non,61.0
NS12099,SMP,66.0,70.0,65.0,68.0,73.0,4.0,Élevée,Sciences et technologie,Oui,68.4
NS11498,SVT,63.0,47.0,86.0,84.0,71.0,,Très élevée,Santé et environnement,Oui,70.2
NS11135,SMP,81.0,86.0,63.0,50.0,54.0,5.0,Élevée,Sciences et technologie,Non,66.8
NS12880,SMP,79.0,77.0,72.0,77.0,77.0,5.0,Moyenne,Informatique,Oui,76.4
NS12078,LLA,75.0,58.0,80.0,94.0,70.0,4.0,Très élevée,Arts et culture,Oui,75.4
NS10057,SVT,82.0,54.0,89.0,83.0,70.0,4.0,Élevée,Santé et environnement,Non,75.6
NS12483,SVT,77.0,77.0,94.91071708468252,60.94207577324588,44.0,4.0,Élevée,Santé et environnement,,70.8
NS10811,LLA,66.0,,54.0,89.0,79.0,2.0,,Lettres et langues,Oui,67.4
NS12195,LLA,56.0,42.0,55.0,94.0,79.0,3.0,,Arts et culture,Non,65.2
NS10561,SVT,73.0,81.0,82.0,,49.0,4.0,Élevée,,Oui,70.0
NS12943,SVT,57.0,65.0,94.0,64.0,65.0,3.0,Très élevée,Sciences et technologie,Oui,69.0
NS10229,LLA,51.0,42.0,42.0,77.0,79.0,2.0,Très élevée,Lettres et langues,Oui,58.2
NS12509,SES,64.0,55.0,57.0,80.0,90.0,5.0,Très élevée,Sciences et technologie,Non,69.2
NS11721,SES,51.0,59.0,54.0,57.0,84.0,4.0,Élevée,Économie et société,Oui,61.0
NS12179,SVT,83.0,60.0,75.0,57.0,64.0,3.0,Très élevée,Sciences et technologie,Oui,67.8
NS11450,SVT,66.0,76.0,76.0,65.0,61.0,4.0,Élevée,Santé et environnement,Oui,68.8
NS11234,SVT,74.0,77.0,,49.0,57.0,4.0,Élevée,Santé et environnement,Oui,68.8
